Headline,Content,Date
युवक के सिर में धंसी थी गोली गिट्टी बताकर बांधी पट्टी,सिर गोली लगी अस्पताल कंपाउंडर कहकर मरहम पट्टी सिर गिट्टी धंसी सुनने पढ़ने हैरतअंगेज लगेगा ऐसा मामला रामनगर सामने आया जानकारी मुताबिक चंदौली चकिया निवासी संतोष यादव दिसंबर रात लोगों सिर गोली मारकर साहूपुरी इलाके फेक ग्रामीणों अलीनगर पुलिस फोन पुलिस घायल संतोष अलीनगर राजकीय महिला अस्पताल पहुंचाया समय सिर्फ कंपाउंडर घायल देखकर सिर गिट्टी धंस दवा पट्टी बांध बीच संतोष हालत खराब लगी बीएचयू ट्रॉमा सेंटर जाया सीटी स्कैन पता चला सिर गोली धंसी सुनते परिवार सन्न संतोष पत्नी गीता यादव रामनगर थाने तहरीर देकर कार्रवाई मांग गीता मुताबिक संतोष मौजूदा समय साहित्यनाका रहता जमालपुर बच्चों पढ़ाने कोचिंग खोली दिसम्बर रात आठ बजे कोचिंग बंद लौट तभी चारपहिया वाहन सवारों उठा घटना उधर संतोष ट्रॉमा सेंटर जनवरी इलाज चला डिस्चार्ज संतोष जमीन विवाद चलते गोली मारी घटना तीन थानों चक्करसंतोष पत्नी गीता न्याय तीन थानों चक्कर काटना पड़ बीएचयू ट्रामा सेंटर भर्ती दौरान गीता लंका थाने तहरीर लंका पुलिस घटनास्थल अलीनगर थाना अलीनगर थाने पुलिस रामनगर मामला रामनगर पुलिस घटना इनकार,2021-01-16
पीएम मोदी ने पहचाना अपनी काशी का मंदिर ,प्रधानमंत्री नरेन् द्र मोदी काशी हृदय बसती शहर वक् त चिंता सच भारत प्रधानमंत्री पद रहते सांसद रूप संसदीय क्षेत्र जुड़ी छोटीबड़ी गतिविधि नज़र रखते जबकि दिनचर्या एकएक पल व् यस् त रहता प्रमाण शुक्रवार ट् विटर संस् लॉस् ट टैंपल काशी प्राचीन मंदिर फोटो लगाई सवाल पूछाक् महान शहर मंदिर ट्वीट संस् संकेत रूप भारतीय संस् कृति सभ् यता महान चितेरे मार्क ट्वेन सुप्रसिद्ध वाक् यांश लगाया हैइतिहास प्राचीन परंपराओं प्राचीन किंवदंतियों प्राचीन प्राचीनताओं संजो रखता — ट्वीट शुक्रवार दोपहर बजे आसपास महज चार घंटे प्रधानमंत्री रीट्वीट जवाब दियाजरूर पहचान हूं काशी रत् नेश् वर महादेव मंदिर पूर्ण सौंदर्य जवाब प्रमाणिकता मोदी रीट्वीट सन् देवदीपावली महोत् सव फोटो संलग् फोटो वर्ष तीन नवंबर देवदीपावली महोत् सव दौरान असंख् य दीपों प्रकाश रत् नेश् वर महादेव मंदिर आलोकित दिख सूक्ष्म जानकारी दंग संस्था पीएम जवाब भेजा है‘थैंक्स’ रत्नेश्वर महादेव मंदिर संबंध ट्वीटर चला सवालजवाब रात बजे दस हजार अधिक शेयर चुका जबकि हजार अधिक रीट्वीट क्या लॉस्ट टैंपल‘लॉस्ट टैंपल’ भारत प्राचीन मंदिरों धरोहरों खोज संरक्षण सक्रिय संस्था इसने प्राचीन जर्जर चुके स्थापत्य ऐतिहासिकता दृष्टि महत्वपूर्ण मंदिरों देश ध्यान आकृष्ट दक्षिण भारत भूमिका विशेष चर्चा,2021-01-16
उजागर किया काली कमाई वाले अधिकारी का नाम,वाराणसी वरिष्ठ संवाददातापरिवहन विभाग चार कर्मचारियों आय अधिक संपत्ति रखने मामले एंटी करप्शन विभाग जांच कर्मचारियों पत्र भेजकर बयान दर्ज पुलिस लाइन स्थित एंटी करप्शन कार्यालय बुलाया सूत्रों मिली अुनसार लिपिक बयान दर्ज लिपिक विभाग अधिकारियों नाम बताए जिनके इशारे काली कमाई एंटी करप्शन टीम लिपिक सरकारी गवाह बनाने जुटी मामले जांच एंटी करप्शन विभाग इंस्पेक्टर उपेंद्र यादव बयान दर्ज पत्र भेजकर बुलाया चारों कर्मचारियों वाराणसी बाबतपुर परिवहन विभाग कार्यरत दूसरा मुख्यालय संबद्ध मऊ पोस्टिंग वाराणसी ट्रांसपोर्ट मालिक वर्ष पूर्व चारों कर्मचारियों शिकायत शासन गोपनीय जांच शिकायत सही पाये एंटी करप्शन विभाग एडीजी लकी अहमद खुली जांच आदेश,2021-01-16
स्टार्टअप फंडिंग के लिए आईआईटी को 50 लाख,स्टार्टअप फंडिंग आईआईटी बीएचयू मिलेंगे लाखवाराणसी प्रमुख संवाददाताएचडीएफसी बैंक आईआईटी बीएचयू आईडीएपीटीहब फाउंडेशन तहत स्टार्टअप्स फंडिंग परामर्श कार्यक्रम इनक्यूबेट अगले साल लाख रुपये देगा संबंध आईआईटी बीएचयू एचडीएफसी बैंक बीच शुक्रवार एमओयू हस्ताक्षर किए जिसपर आईआईटी निदेशक प्रो प्रमोद कुमार जैन एचडीएफसी सर्किल हेड मनीष टंडन हस्ताक्षर किये प्रो जैन आईडीएपीटीहब फाउंडेशन विज्ञान प्रौद्योगिकी विभाग डीएसटी राष्ट्रीय मिशन कार्यक्रम तहत सेक्शन कंपनी कंपनी उद्देश्य व्यावसायिक सामाजिक प्रभाव उत्पन्न वैज्ञानिक तकनीकी ज्ञान पूंजी उभरने विचार नवाचारों प्रेरितपोषित देश आर्थिक विकास सामाजिक कल्याण योगदान बाजार तत्परता प्रौद्योगिकी निर्माण आवश्यक बुनियादी ढांचा तैयार मौजूदा उपक्रमों अपनाने स्टार्टअप उपक्रमों निर्माण शिक्षा उद्योग वित्तीय संस्थानों बीच नेटवर्क स्थापित एचडीएफसी बैंक कॉर्पोरेट सोशल रिस्पांसिबिलिटी सीएसआर तहत स्टार्टअप इनक्यूबेटर फंडिंग कार्यक्रमों समर्थन एमओयू आईडीएपीटीहब फाउंडेशन उद्देश्य बढ़ाने मदद करेगा आईडीएपीटीहब फाउंडेशन प्रशासनिक कौशल विकास प्रशिक्षण कार्यक्रम खर्चों अनुदान राशि उपयोग करेगा पूल एचडीएफसी बैंक आईडीएपीटीहब फाउंडेशन चुने स्टार्टअप्स शामिल होंगे एमओयू हस्ताक्षर अवसर अनुसंधान विकास संकाय डीन प्रो राजीव प्रकाश संकाय मामलों अधिष्ठाता प्रो राजेश त्यागी एचडीएफसी बैंक अधिकारी उपस्थित,2021-01-16
यूपी बोर्ड  कोर्स पूरा करने को अतिरिक्त कक्षाएं,वाराणसी वरिष्ठ संवाददातायूपी बोर्ड स्कूलों परीक्षा तैयारी डेटलाइन तय फरवरी वीं वीं कोर्स लेना फरवरी अंत प्रीबोर्ड परीक्षा लेनी कोर्स स्कूलों रणनीति बना ली अतिरिक्त कक्षाएं चला हाल फरवरी कोर्स करवा देंगे लॉकडा‌उन विपरीत परिस्थितियों कारण विषयों हिस्सा बच ज्यादातर प्रधानाचार्यों विषय अध्यापकों निर्देश विद्यालयों पास औसतन बीस दिन समय बचा अवधि हाल कोर्स कराना शिक्षकों स्कूलों समय दस तीन बजे किए कोर्स आसानी छात्रों संख्या कक्षाओं बढ़ने लगी क्वींस कालेज प्रधानाचार्य डॉ राजेश यादव अधिकांश विषयों फीसदी कोर्स बचे समय कोर्स लक्ष्य जरूरत पड़ी अतिरिक्त कक्षाएं ली जाएंगी प्रीबोर्ड परीक्षार्थियों प्रदर्शन रिवीजन दिन कक्षाएं चलाने जरूरत पड़ सकती डीआईओस डॉ वीपी सिंह साल तीस फीसदी कोर्स कम दिए सबको संशोधित पाठ्यक्रम विवरणिका भेज इसलिए बचे समय कोर्स समस्या आनी प्रीबोर्ड ए्गाज स्कूलों अनिवार्य रुप कराना ताकि परीक्षार्थी क्षमता आकलन सके अगर विद्यार्थी विषय कमजोर शिक्षक जिम्मेदारी अतिरिक्त कक्षा परेशानी दूर,2021-01-16
20 यात्री मिले बेटिकट,वाराणसी रोडवज बसों बेटिकट यात्रियों पकड़े सिलसिला जारी गुरुवार रात वाराणसीप्रयागराज मार्ग जनरथ बस संख्या यूपी एन चेकिंग दौरान यात्री बेटिकट पकड़े चेकिंग प्रर्वतन दल परिचालक चालक खिलाफ रुपये जुर्माना लगाया दल दोनों कर्मचारियों खिलाफ विभागीय जांच आरएम रिपोर्ट भेजी बस यात्री सवार,2021-01-16
बीएचयू में रैश बाइकिंग की तो खैर नहीं,चेतावनी बीएचयू रैश बाइकिंग खैर नहींवाराणसी प्रमुख संवाददाताबीएचयू परिसर सुबहसुबह हवाखोरी वाहनों रोक लगा रैश बइकिंग खिलाफ कार्रवाई तैयारी ऐसा खिलाफ कार्रवाई जिला प्रशासन जिला परिवहन अधिकारी समन्वय स्थापित निर्णय शुक्रवार बीएचयू चीफ प्रॉक्टर प्रो आनंद चौधरी अध्यक्षता प्रॉक्टोरियल बोर्ड बैठक प्रो चौधरी सेहत बीएचयू टहलने आने वाहनों आते वाहनों निकलने धुएं परिसर पर्यावरण दूषित बेहतर हवाखोरी पैदल परिसर आएं बोर्ड निश्चय अपील पालन दशा परिसर पर्यावरण संरक्षण हेतु विधिक उपायों विकल्पों विचार परिसर खेल मैदानों बाहरी तत्वों दुरुपयोग किए बीएचयू प्रशासन सख्ती बरतने मूड लोगों नजर रखने टीम गठन अशोभनीय कृत्य पकड़े सीधे पुलिस सौंप बीएचयू छात्रों सलाह खेल मैदानों उपयोग समय परिचय पत्र परिसर स्थित बिड़ला विश्वनाथ मंदिर बाहर भिक्षा मांगने तत्काल प्रभाव बाहर बैठक प्रो एसपी सिंह प्रो अरविन् द मिश्रा प्रो टीपी सिंह प्रो निर्मला होरो प्रो आरएन चौरसिया प्रो एसके भारतीय डॉ लालता प्रसाद डॉ आभा मिश्रा पाठक डॉ रंजित प्रताप सिंह प्रो अंजलि रानी मौजूद रहीं,2021-01-16
स्मार्ट शहरों में बनारस अव्वल भोपालसूरत को पछाड़ा,वाराणसी कार्यालय संवाददातादेश स्मार्ट शहरों बनारस अव्वल आया शुक्रवार शहरी विकास मंत्रालय जारी रैंकिंग पहला स्थान हासिल बनारस भोपाल सूरत अहमदाबाद शहरों पीछे छोड़ स्मार्ट सिटी रैंकिंग साल बनारस वें स्थान अंक हासिल स्मार्ट सिटी तहत शहर प्रोजेक्ट प्रगति इनपर खर्च वाली राशि पूरे कार्यों आधार रैंकिंग जारी बनारस अंक हासिल रैकिंग भोपाल सूरत तीसरे अहमदाबाद चौथे स्थान जनवरी बनारस रैंकिंग अगस्त सात पायदान चढ़कर सातवें स्थान दर्ज स्मार्ट सिटी योजना करोड़ रुपये प्रोजेक्ट काम करोड़ रुपये प्रोजेक्ट पूरे चुके करोड़ रुपये तीन प्रोजेक्ट टेंडर निकाला बुनियादी सुविधाओं सुरक्षा कार्यस्मार्ट सिटी तहत शहर बुनियादी सुविधाओं सुरक्षा लिहाज प्रोजेक्ट काम शहर जगहों अत्याधुनिक सीसीटीवी कैमरे लगाए वार्डों पायलट प्रोजेक्ट तहत चुना पेयजल सीवर नई पाइप लाइन बिछाने चौका पत्थर बिछाने काम नगर आयुक्त गौरांग राठी बनारस स्मार्ट सिटी रैकिंग पहला स्थान मिलने कार्य जुटे लोगों प्रोत्साहन रैंकिंग बनाए रखने काम,2021-01-16
अधीक्षण अभियंता कार्यालय पर की नारेबाजी,वाराणसी वरिष्ठ संवाददाताउपकेंद्र परिचालक एसएसओ निलंबित किए आक्रोशित विद्युत मजदूर संघ पदाधिकारियों शुक्रवार अधीक्षण अभियंताद्वितीय कार्यालय नारेबाजी एसएसओ निलंबन वापस लेने तथा एक्सईएन निलंबित मांग अधीक्षण अभियंता कार्यालय संघ प्रतिनिधिमंडल मुख्य अभियंता एमके अग्रवाल मुलाकात मुख्य अभियंता मामले जांच आश्वासन उधर एसएसओ गुरुवार एजीआरएस खिलाफ शिकायत दर्ज ली संबंधित अधिकारी जांच जुट बात दिसंबर कज्जाकपुरा स्थित बिजली कंट्रोल रूम आलमारी बाहर निकालने अधिशासी अभियंताअष्टम अरविंद यादव एसएसओ मोहम्मद आजाद बीच हाथापाई एसएसओ अधिशासी अभियंता बंदूक तानने आरोप लगाया अधिशासी अभियंता दिन एसएसओ निलंबित कोटविद्युत मजदूर संघ ज्ञापन मामले दोनों पक्षों बातचीत संतुष्ट जांच आदेश दीपक अग्रवाल अधीक्षण अभियंता,2021-01-16
धनसंग्रह अभियान  बाबा को चढ़ाई पहली रसीद शुरुआत महापौर के घर से,वाराणसी कार्यालय संवाददाताअयोध्या राम मंदिर निर्माण समर्पण निधि संग्रह शुक्रवार विहिप पदाधिकारियों सुबह काशी विश्वनाथ कालभैरव मंदिर दर्शनपूजन दोनों मंदिरों रसीद प्रतियां अर्पित अभियान सफलता आशीर्वाद मांगा महापौर मृदुला जायसवाल लाख हजार रुपये सहयोग राशि काशी निधि संग्रह शुरूआत आरएसएस राष्ट्रीय कार्यकारिणी सदस्य अजीत महापात्रा महापौर सिगराछित्तूपुर अंबालिकापुरी स्थित आवास चेक रूप समर्पण राशि स्वीकार महापौर सास सावित्री देवी चेक भेंट उल्लेखनीय महापौर मृदुला जायसवाल काशी पूर्व सांसद स्व शंकरप्रसाद जायसवाल पुत्रवधू अजीत महापात्रा अभियान घरघर जाकर समर्पण निधि सहयोग निवेदन दौरान उत्तर जिला संघचालक वीरेंद्र गुप्त रचना अग्रवाल अमित राधाकृष्ण जायसवाल विहिप पदाधिकारी कन्हैया सिंह समेत स्वयंसेवकों काशी विश्वनाथ मंदिर कैलभैरव मंदिर दर्शनपूजन रसीद चढ़ाई राम मंदिर संग्रहीत समर्पण निधि अधिकतम घंटे बैंकों जमा उत्तर दक्षिणी जिला जमाकर्ताओं जिम्मेदारी सौंपी उत्तर जिला अभियान प्रमुख राजन तिवारी नगर स्तर जमाकर्ताओं तय समय राशि बैंकों जमा जिम्मेदारी बैंकों कार्यदिवस दौरान संग्रहीत राशि जमा करनी मेरे सौभाग्य बात महापौरमहापौर हमारा सौभाग्य अभियान शुरूआत अवसर मेरे ससुर शंकरप्रसाद जायसवाल राम मंदिर आंदोलन बढ़चढ़कर हिस्सा जेल रघुनाथ सेवा न्यास राम मंदिर समर्पण निधि,2021-01-16
थाने पर पोस्टिंग कराने का वीडियो वायरल,थाने पोस्टिंग ऑडियो वायरल हड़कंपवाराणसी कार्यालय संवाददातासोशल मीडिया शुक्रवार रात वायरल मिनट ऑडियो क्लिप पुलिस महकमे हड़कंप मचा लोगों बातचीत सिपाही एसआई थाना दिलाने बात बातचीत खुद पैरवीकार पुलिस लाइन तैनात दुबे सिपाही चोलापुर थाना दिलाने एसएसपी बंगले मिलकर पैरवी बात कथित पैरवीकार दूसरा व्यक्ति दुबे चोलापुर थाने तैनाती दिलाने बात कह कथित पैरवीकार सुबह बजे फोन कप्तान समय शाम सात बजे बंगले दौरान एसएसपी पीआरओ मिले जिनसे उक्त बात बताई बातचीत क्रम दुबे पोस्टिंग रुपये मांग हालांकि दूसरा व्यक्ति रुपये काम इस्तेमाल बात कह चुनाव दौरान सिपाही इस्तेमाल सिपाही दोतीन फर्जी मुकदमे लिखवा लेने बात क्रम एसआई तैनाती लाख रुपये तय बात कथित पैरवीकार कह कह दुबे उक्त एसआई काम कराएगा बातचीत बड़ागांव तैनात एसआई पांच लाख रुपये तैनाती जिक्र एसएसपी अमित पाठक बाहरी लोगों बातचीत बारे वक्तव्य देने इनकार पावरफुल दुबेबातचीत उक्त सिपाही नाम कथित रूप पैरवी दूसरा व्यक्ति कह केवल दुबे थाना दिलवा जाए काम दूबे ब्रह्मा लेख दुबे थाना दिला पाने क्षोभबातचीत दूसरा व्यक्ति डीएम नाम कह डीएम जरिये सिफारिश दूबे तैनाती केवल अगली लिस्ट बात कथित रूप पैरवी कह सूची जारी बार एसएसपी बात लेगा,2021-01-16
केवड़िया के लिए महामना एक्सप्रेस को ही विस्तार,वाराणसी काशी केवड़िया बीच चलने वाली नई ट्रेन महामना एक्सप्रेस ट्रेन वर्तमान वडोदरा महामना एक्सप्रेस नाम नंबर चलाई केवल ट्रेन एलएचबी कोच लैस केवड़िया विस्तार सप्ताह दिन चलाई केवड़िया चलने वाली महामना एक्सप्रेस वर्तमान वडोदरा चलने समय वाराणसी जंक्शन छूटेगी केवल वडोदरा समय विस्तार रहेगा प्रधानमंत्री नरेंद्र मोदी जनवरी वर्चुअल उद्घाटन उद्घाटन समारोह तैयारियों शुक्रवार लखनऊ मंडल डीआरएम संजय त्रिपाठी वाराणसी सुबह बजे छूटेगी लोकार्पित ट्रेनरविवार ट्रेन नंबर गाड़ी लोकार्पित वाराणसी कैंट सुबह बजे प्लेटफॉर्म नंबर छूटेगी अगले दिन ट्रेन केवड़िया पहुंचेगी नई ट्रेन दभोई स्टेशन पारकर केवड़िया किमी दूरी पौने घंटे पूरीट्रेन काशी केवड़िया बीच किमी दूरी तय करेगी दूरी किमी प्रति घंटे औसत चाल घंटे ट्रेन लेगी,2021-01-16
"प्राइमरी के अनुभवी शिक्षक बने छात्र
",वाराणसी वरिष्ठ संवाददाताबेसिक शिक्षा परिषषद स्कूलों नए सत्र एनसीईआरटी पाठ्यक्रम लागू तैयारी तेज पाठ्यक्रम अनुसार किताबें लागू शिक्षकों प्रशिक्षण शुक्रवार ताकि पढ़ाने बच्चों समझने दिक्कत खास शासन गाइड लाइन मुताबिक कक्षा पढ़ाने विद्यालय अनुभवी योग्य शिक्षक प्रशिक्षित ट्रेनिंग मार्च चलेगी ग्रुप प्रशिक्षणब्लाक स्तर शिक्षकों मास्टर ट्रेनर प्रशिक्षित वाराणसी स्थित राज्य हिन्दी संस्थान हिन्दी किताब ‘रिमझिम पढ़ाने मास्टर ट्रेनर तैयार ब्लाक स्तर फेस टु फेस मोड शिक्षक प्रशिक्षित होंगे शिक्षकों प्रशिक्षण माड्यूल एनसीईआरटी पुस्तकों सेट निगरानीट्रेनिंग निगरानी जिम्मेदारी डायट प्राचार्य बीएसए बीईओ डायट प्राचार्य नामित संकाय सदस्य प्रशिक्षण वीडियो रिकार्डिंग विभिन्न सत्रों चलने वाली ट्रेनिंग शिक्षकों उपस्थिति अनिवार्य प्रशिक्षण अलग माड्यूलराज्य हिन्दी संस्थान निदेशक ऋचा जोशी प्रदेशभर चयनित शिक्षकों मास्टर ट्रेनर रूप ऑनलाइन प्रशिक्षण एमएस टीम एप अलावा संस्थान बाह्य विशेषज्ञों मदद ली प्रशिक्षण अलग माड्यूल तैयार किताब आवरण पृष्ठ पाठों चित्रों अभ्यासों बारे मास्टर ट्रेनरों प्रशिक्षित,2021-01-16
शायर मेयार सनेही फानी जहां से हुए रुखसत,वाराणसी प्रमुख संवाददाता‘जिंदगी मौत इनमें मंजिल दोनों रास्ते आनेजाने नायाब शेरों जरएि बेबाकी बात रखने बनारस मशहूर शायर मेयार सनेही फानी शुक्रवार दोपहर रुखसत वर्ष उम्र हरहुआ स्थित निजी अस्पताल अंतिम सांस ली हरहुआ बेटी रहते मेयार सनेही दिनों बीमार शुक्रवार सुबह तबीयत अधिक खराब बेटी दामाद अस्पताल दोपहर तीन बजे हृदय गति रुकने निधन जनवरी सुपुर्दे खाक निधन शोक व्यक्त रंगकर्मी शायर सलीम राजा बनारस फकीर मिजाज शायर मेयार साहब बेहद सादगी पसंद इंसान तमाम एतराज अंदाज़ जीते सेतु सांस्कृतिक केंद्र समन्वयक प्रतिमा सिन्हा वर्ष नागरी नाटक मंडली आलमी मुशायरे ‘जश्ने इशरत राहत इंदौरी शायर रहते ‘न आला अदना हिंदू मुस्लिममोहब्बत बस मोहब्बत मतलब शेरों बदौलत महफिल लूट ली शायर अतीक अंसारी जीवित रहते सही मूल्यांकन सका अदब दुनिया ग़ज़लें पढ़ेंगी याद करेंगी होंगे निधन सेतु सांस्कृतिक केंद्र शोक सभा,2021-01-16
